"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","01.01.2021 00:00 - 01.01.2021 01:00 (CET)","519","n/e","n/e","72","185","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","77","207","204"
"BZN|DK2","01.01.2021 01:00 - 01.01.2021 02:00 (CET)","520","n/e","n/e","75","177","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","172","182"
"BZN|DK2","01.01.2021 02:00 - 01.01.2021 03:00 (CET)","520","n/e","n/e","76","149","28","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","167","165"
"BZN|DK2","01.01.2021 03:00 - 01.01.2021 04:00 (CET)","518","n/e","n/e","75","138","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","142","157"
"BZN|DK2","01.01.2021 04:00 - 01.01.2021 05:00 (CET)","511","n/e","n/e","76","143","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","119","121"
"BZN|DK2","01.01.2021 05:00 - 01.01.2021 06:00 (CET)","508","n/e","n/e","75","172","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","82","97","113"
"BZN|DK2","01.01.2021 06:00 - 01.01.2021 07:00 (CET)","511","n/e","n/e","76","176","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","82","77","91"
"BZN|DK2","01.01.2021 07:00 - 01.01.2021 08:00 (CET)","517","n/e","n/e","75","176","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","50","67"
"BZN|DK2","01.01.2021 08:00 - 01.01.2021 09:00 (CET)","519","n/e","n/e","73","175","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","44","71"
"BZN|DK2","01.01.2021 09:00 - 01.01.2021 10:00 (CET)","481","n/e","n/e","76","190","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2","79","44","85"
"BZN|DK2","01.01.2021 10:00 - 01.01.2021 11:00 (CET)","491","n/e","n/e","79","197","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7","80","56","79"
"BZN|DK2","01.01.2021 11:00 - 01.01.2021 12:00 (CET)","461","n/e","n/e","82","196","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","13","80","74","83"
"BZN|DK2","01.01.2021 12:00 - 01.01.2021 13:00 (CET)","465","n/e","n/e","129","198","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","14","83","66","78"
"BZN|DK2","01.01.2021 13:00 - 01.01.2021 14:00 (CET)","513","n/e","n/e","136","192","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11","81","28","52"
"BZN|DK2","01.01.2021 14:00 - 01.01.2021 15:00 (CET)","520","n/e","n/e","149","192","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7","82","24","39"
"BZN|DK2","01.01.2021 15:00 - 01.01.2021 16:00 (CET)","560","n/e","n/e","150","197","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","83","28","31"
"BZN|DK2","01.01.2021 16:00 - 01.01.2021 17:00 (CET)","563","n/e","n/e","164","202","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","25","27"
"BZN|DK2","01.01.2021 17:00 - 01.01.2021 18:00 (CET)","554","n/e","n/e","167","206","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","82","37","24"
"BZN|DK2","01.01.2021 18:00 - 01.01.2021 19:00 (CET)","575","n/e","n/e","156","201","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","29","22"
"BZN|DK2","01.01.2021 19:00 - 01.01.2021 20:00 (CET)","567","n/e","n/e","159","203","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","7","22"
"BZN|DK2","01.01.2021 20:00 - 01.01.2021 21:00 (CET)","567","n/e","n/e","188","205","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","1","21"
"BZN|DK2","01.01.2021 21:00 - 01.01.2021 22:00 (CET)","556","n/e","n/e","183","205","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","84","0","19"
"BZN|DK2","01.01.2021 22:00 - 01.01.2021 23:00 (CET)","618","n/e","n/e","122","213","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","84","0","17"
"BZN|DK2","01.01.2021 23:00 - 02.01.2021 00:00 (CET)","622","n/e","n/e","104","210","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","84","0","17"
"BZN|DK2","02.01.2021 00:00 - 02.01.2021 01:00 (CET)","536","n/e","n/e","77","182","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","83","0","17"
"BZN|DK2","02.01.2021 01:00 - 02.01.2021 02:00 (CET)","495","n/e","n/e","77","148","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","82","0","18"
"BZN|DK2","02.01.2021 02:00 - 02.01.2021 03:00 (CET)","500","n/e","n/e","75","143","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","0","17"
"BZN|DK2","02.01.2021 03:00 - 02.01.2021 04:00 (CET)","507","n/e","n/e","70","135","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","82","0","17"
